biorxiv_doi,preprint_category,preprint_date,published_date,days_to_publication,published_journal,jaccard_similarity,preprint_word_count,published_word_count,year,primary_label,primary_hedging,preprint_primary_type,published_primary_type,s1_label,s1_hedging,s2_label,s2_hedging,source
10.1101/2020.05.06.074039,genomics,2020-05-07,2021-02-04,273.0,Molecular biology and evolution,0.9355,250,250,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.08.12.248203,neuroscience,2020-08-12,2021-02-08,180.0,Neuron,1.0,149,149,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.03.28.012823,genomics,2020-03-29,2021-02-08,316.0,eLife,1.0,149,149,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/808675,genomics,2019-10-17,2021-02-09,481.0,European journal of human genetics : EJHG,0.9265,217,208,2019,unchanged,unchanged,method,method,unchanged,unchanged,minor,unchanged,full
10.1101/2020.03.09.984674,ecology,2020-03-11,2021-02-08,334.0,Marine Ecology Progress Series,0.8696,214,212,2020,minor,weakened,mechanism,mechanism,minor,strengthened,minor,unchanged,full
10.1101/2020.06.29.177436,neuroscience,2020-06-29,2021-02-08,224.0,Psychophysiology,0.8994,260,245,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.02.13.948083,evolutionary biology,2020-02-13,2021-02-05,358.0,Systematic biology,0.8812,163,165,2020,unchanged,unchanged,method,method,minor,unchanged,minor,strengthened,full
10.1101/2020.04.14.040519,ecology,2020-04-14,2021-02-10,302.0,Methods in Ecology and Evolution,0.9062,195,196,2020,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.09.04.283937,bioinformatics,2020-09-04,2021-02-06,155.0,Proteins,0.903,189,198,2020,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/2020.10.12.332569,molecular biology,2020-10-12,2021-02-08,119.0,Nature communications,0.9346,150,150,2020,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,full
10.1101/2020.08.03.235234,molecular biology,2020-08-04,2021-02-08,188.0,"Plant, Cell &amp; Environment",0.4818,316,194,2020,minor,unchanged,mechanism,mechanism,minor,weakened,minor,unchanged,full
10.1101/829028,synthetic biology,2019-11-02,2021-02-10,466.0,Biochemistry,0.9255,242,244,2019,minor,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,full
10.1101/2020.04.25.061358,molecular biology,2020-04-25,2021-02-09,290.0,Nature communications,0.9381,149,146,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.08.14.250514,neuroscience,2020-08-14,2021-02-10,180.0,The European journal of neuroscience,0.9745,224,223,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/834861,microbiology,2019-11-08,2021-02-09,459.0,The ISME journal,0.9452,209,209,2019,unchanged,unchanged,descriptive,descriptive,major,unchanged,unchanged,unchanged,full
10.1101/2020.02.18.955153,bioinformatics,2020-02-20,2021-02-08,354.0,PloS one,1.0,106,106,2020,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.09.21.305680,cell biology,2020-09-21,2021-02-08,140.0,Genetics,0.9792,147,148,2020,unchanged,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/727669,genomics,2019-08-06,2021-02-08,552.0,Molecular biology and evolution,0.9304,153,162,2019,unchanged,unchanged,association,association,minor,unchanged,major,,full
10.1101/2020.01.17.910851,neuroscience,2020-01-18,2021-02-09,388.0,Scientific reports,0.8806,198,217,2020,minor,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/2020.09.17.301192,pharmacology and toxicology,2020-09-17,2021-02-08,144.0,PLoS pathogens,0.6154,482,300,2020,major,weakened,mechanism,mechanism,unchanged,unchanged,major,,full
10.1101/788901,plant biology,2019-10-01,2021-02-08,496.0,"G3 (Bethesda, Md.)",0.7374,265,263,2019,minor,unchanged,descriptive,descriptive,major,unchanged,major,unchanged,full
10.1101/835918,cancer biology,2019-11-09,2021-02-08,457.0,Cancer Research,0.4624,170,256,2019,major,weakened,mechanism,mechanism,major,strengthened,minor,unchanged,full
10.1101/2020.11.17.387480,neuroscience,2020-11-18,2021-02-05,79.0,Molecular therapy : the journal of the American Society of Gene Therapy,0.9078,199,204,2020,minor,unchanged,therapeutic,therapeutic,minor,unchanged,minor,unchanged,full
10.1101/2020.06.29.177642,molecular biology,2020-06-29,2021-02-09,225.0,Nature structural & molecular biology,0.6242,213,154,2020,minor,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,full
10.1101/2020.07.16.207001,neuroscience,2020-07-17,2021-02-08,206.0,BMC biology,0.6179,218,314,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,major,,full
10.1101/389734,bioinformatics,2018-08-10,2021-02-08,913.0,NPJ systems biology and applications,0.7541,168,175,2018,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/844605,cancer biology,2019-11-15,2021-02-09,452.0,PloS one,0.8743,279,264,2019,minor,unchanged,therapeutic,therapeutic,minor,unchanged,minor,unchanged,full
10.1101/2020.09.17.302349,ecology,2020-09-18,2021-02-05,140.0,Methods in Ecology and Evolution,0.8929,344,346,2020,minor,strengthened,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.02.20.957761,cell biology,2020-02-20,2021-02-10,356.0,Current biology : CB,0.5462,128,202,2020,minor,weakened,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.02.24.962381,neuroscience,2020-02-25,2021-02-09,350.0,BMC biology,0.5692,198,253,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,major,,full
10.1101/2020.02.27.968743,genomics,2020-02-28,2021-02-09,347.0,Genome research,0.9542,213,213,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.01.24.918714,biophysics,2020-01-25,2021-02-08,380.0,Science advances,0.4888,333,149,2020,minor,weakened,mechanism,mechanism,minor,unchanged,major,,full
10.1101/866681,neuroscience,2019-12-06,2021-02-10,432.0,Brain structure & function,0.9916,243,243,2019,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.07.23.217513,animal behavior and cognition,2020-07-24,2021-02-10,201.0,Behavioral Ecology and Sociobiology,0.9756,369,387,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.09.30.321133,ecology,2020-10-02,2021-02-08,129.0,New Phytologist,0.896,200,202,2020,minor,unchanged,association,association,unchanged,unchanged,minor,unchanged,full
10.1101/2020.03.23.000356,developmental biology,2020-03-23,2021-02-09,323.0,Nature communications,0.6893,114,135,2020,minor,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,full
10.1101/786632,neuroscience,2019-09-30,2021-02-09,498.0,Cell,0.3605,151,151,2019,major,weakened,mechanism,mechanism,minor,weakened,minor,unchanged,full
10.1101/2020.08.30.273821,bioengineering,2020-08-31,2021-02-10,163.0,Sustainable Energy &amp; Fuels,0.134,127,25,2020,major,weakened,descriptive,descriptive,major,,major,,full
10.1101/2020.04.27.062182,biophysics,2020-04-27,2021-02-08,287.0,Scientific reports,0.5168,184,197,2020,minor,unchanged,method,method,minor,unchanged,major,strengthened,full
10.1101/2020.09.14.295881,cell biology,2020-09-14,2021-02-09,148.0,PloS one,1.0,300,298,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.09.27.315283,molecular biology,2020-09-28,2021-02-08,133.0,eLife,0.7699,120,149,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,major,,full
10.1101/2020.02.10.941328,genetics,2020-02-10,2021-02-09,365.0,Nature communications,0.8868,150,155,2020,minor,unchanged,association,association,minor,unchanged,unchanged,unchanged,full
10.1101/2020.09.28.317362,physiology,2020-09-28,2021-02-08,133.0,Proceedings of the National Academy of Sciences of the United States of America,0.7194,336,251,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.05.13.094524,genetics,2020-05-15,2021-02-08,269.0,Genetics,0.5297,238,230,2020,minor,unchanged,association,association,major,weakened,unchanged,unchanged,full
10.1101/857953,genetics,2019-11-29,2021-02-03,432.0,Biological psychiatry,0.522,245,247,2019,minor,weakened,association,association,minor,unchanged,major,,full
10.1101/2020.06.02.129700,neuroscience,2020-06-03,2021-02-11,253.0,PLoS computational biology,1.0,115,115,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.08.22.261263,cell biology,2020-08-23,2021-02-08,169.0,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",0.8494,222,231,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.09.22.309021,neuroscience,2020-09-23,2021-02-10,140.0,eLife,0.5906,227,151,2020,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,minor,strengthened,full
10.1101/2019.12.20.883074,neuroscience,2019-12-20,2021-02-12,420.0,Scientific reports,0.9278,149,150,2019,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.07.26.221986,evolutionary biology,2020-07-26,2021-02-11,200.0,Proceedings. Biological sciences,0.9722,148,149,2020,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,full
10.1101/828541,neuroscience,2019-11-01,2021-02-10,467.0,Communications biology,0.7068,181,143,2019,minor,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/2020.05.15.098657,plant biology,2020-05-16,2021-02-11,271.0,New Phytologist,0.8,223,206,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.08.10.244442,bioinformatics,2020-08-11,2021-02-11,184.0,Nature communications,0.442,151,137,2020,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.06.22.164038,cancer biology,2020-06-23,2021-02-08,230.0,Cancer Research,0.6301,413,289,2020,minor,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.05.18.102996,genetics,2020-05-19,2021-02-11,268.0,PLoS genetics,0.7523,432,286,2020,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,full
10.1101/2020.10.05.326850,plant biology,2020-10-07,2021-02-11,127.0,PeerJ,0.7704,260,312,2020,minor,unchanged,descriptive,descriptive,unchanged,unchanged,major,unchanged,full
10.1101/2020.06.12.148650,biophysics,2020-06-12,2021-02-12,245.0,Biophysical journal,0.7081,360,238,2020,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/268680,bioinformatics,2018-02-22,2021-02-11,1085.0,"Genomics, proteomics & bioinformatics",0.7324,165,205,2018,major,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/549469,neuroscience,2019-02-13,2021-02-10,728.0,PLoS computational biology,0.348,488,239,2019,minor,unchanged,method,method,minor,weakened,major,,full
10.1101/2020.04.09.032037,biophysics,2020-04-09,2021-02-11,308.0,Nature communications,0.9194,152,154,2020,minor,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.05.24.111997,evolutionary biology,2020-05-27,2021-02-08,257.0,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",0.7197,195,248,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.07.17.208231,plant biology,2020-07-17,2021-02-11,209.0,Nature communications,0.5372,149,143,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,strengthened,full
10.1101/2020.09.03.278085,cancer biology,2020-09-03,2021-02-10,160.0,Cells Tissues Organs,0.9661,190,191,2020,unchanged,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,full
10.1101/2020.06.17.157651,ecology,2020-06-19,2021-02-02,228.0,Frontiers in Ecology and Evolution,0.7432,262,183,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.08.12.247619,cell biology,2020-08-12,2021-02-10,182.0,Scientific reports,0.6119,358,222,2020,minor,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/721498,neuroscience,2019-08-01,2021-02-02,551.0,eLife,0.5882,186,155,2019,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.06.23.166819,developmental biology,2020-06-24,2021-02-05,226.0,Communications biology,0.4013,155,148,2020,major,weakened,mechanism,descriptive,minor,unchanged,minor,unchanged,full
10.1101/563866,genomics,2019-03-06,2021-02-11,708.0,Nature,0.716,208,238,2019,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.09.03.281048,evolutionary biology,2020-09-03,2021-02-12,162.0,PLoS genetics,0.6905,215,175,2020,minor,weakened,mechanism,mechanism,minor,unchanged,major,unchanged,full
10.1101/801118,bioinformatics,2019-10-10,2021-02-11,490.0,BMC bioinformatics,0.7765,208,257,2019,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/2020.05.04.075853,bioinformatics,2020-05-04,2021-02-11,283.0,"Development (Cambridge, England)",0.4882,192,165,2020,major,unchanged,method,method,major,,major,unchanged,full
10.1101/2020.06.18.156950,bioengineering,2020-06-18,2021-02-11,238.0,Royal Society open science,0.9872,248,249,2020,unchanged,unchanged,null_result,null_result,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.10.07.328385,immunology,2020-10-08,2021-02-03,118.0,Frontiers in genetics,0.6702,331,218,2020,unchanged,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.05.11.089102,biochemistry,2020-05-13,2021-02-11,274.0,Nature,0.824,198,201,2020,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.03.10.985119,bioinformatics,2020-03-11,2021-02-11,337.0,"Genomics, proteomics & bioinformatics",0.9511,236,267,2020,unchanged,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.10.01.322644,genetics,2020-10-03,2021-02-10,130.0,Human heredity,0.8942,340,343,2020,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,full
10.1101/2020.08.16.252841,genomics,2020-08-17,2021-02-10,177.0,Frontiers in genetics,0.9103,289,294,2020,unchanged,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.07.24.220293,cell biology,2020-07-25,2021-02-10,200.0,Molecular Biology of the Cell,0.2881,184,43,2020,major,weakened,mechanism,mechanism,major,,major,,full
10.1101/2020.04.17.029728,neuroscience,2020-04-18,2021-02-12,300.0,Current Directions in Biomedical Engineering,0.8043,45,45,2020,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,,,full
10.1101/2020.05.11.087825,neuroscience,2020-05-13,2021-02-10,273.0,Journal of Experimental Biology,0.6979,120,116,2020,unchanged,unchanged,association,association,unchanged,unchanged,minor,unchanged,full
10.1101/2020.07.31.230847,neuroscience,2020-08-03,2021-02-12,193.0,CNS &amp; Neurological Disorders - Drug Targets,0.8515,298,310,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/800631,molecular biology,2019-10-10,2021-02-07,486.0,iScience,0.4757,70,107,2019,minor,unchanged,method,method,minor,unchanged,major,,full
10.1101/2020.03.03.975755,bioinformatics,2020-03-05,2021-02-10,342.0,"Genomics, proteomics & bioinformatics",0.8015,168,182,2020,minor,unchanged,method,method,unchanged,unchanged,minor,unchanged,full
10.1101/2020.08.10.245159,cancer biology,2020-08-10,2021-02-10,184.0,Nature communications,0.9338,182,180,2020,minor,unchanged,therapeutic,therapeutic,major,weakened,unchanged,unchanged,full
10.1101/2020.10.20.346825,microbiology,2020-10-21,2021-02-11,113.0,PloS one,0.9766,288,295,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/816652,genetics,2019-10-24,2021-02-10,475.0,American journal of human genetics,0.2153,198,190,2019,major,weakened,association,association,major,strengthened,major,,full
10.1101/864835,genomics,2019-12-05,2021-02-10,433.0,NAR genomics and bioinformatics,0.8286,218,198,2019,minor,unchanged,method,method,minor,unchanged,major,weakened,full
10.1101/2020.04.20.052035,microbiology,2020-04-23,2021-02-11,294.0,Microbiome,0.9608,255,257,2020,unchanged,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.10.27.357210,molecular biology,2020-10-27,2021-02-10,106.0,Molecular cell,0.9217,149,150,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.08.19.257568,evolutionary biology,2020-08-19,2021-02-12,177.0,Molecular ecology,0.9006,228,231,2020,minor,unchanged,null_result,null_result,unchanged,unchanged,minor,unchanged,full
10.1101/2020.10.09.333278,microbiology,2020-10-09,2021-02-10,124.0,Cell reports,0.8947,143,138,2020,minor,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.08.26.267690,plant biology,2020-08-27,2021-02-09,166.0,The Plant cell,0.7762,194,208,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/804070,ecology,2019-10-13,2021-02-12,488.0,Canadian Journal of Fisheries and Aquatic Sciences,0.7462,177,188,2019,minor,weakened,association,association,minor,unchanged,minor,weakened,full
10.1101/2020.10.30.358697,immunology,2020-10-30,2021-02-12,105.0,American Journal of Reproductive Immunology,0.8444,243,246,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.09.15.298307,neuroscience,2020-09-16,2021-02-09,146.0,"Network neuroscience (Cambridge, Mass.)",0.9213,201,205,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.03.11.987974,genomics,2020-03-12,2021-02-11,336.0,Genetics,0.9697,251,248,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,major,unchanged,full
10.1101/431478,cancer biology,2018-10-02,2021-02-11,863.0,Royal Society open science,0.8667,157,175,2018,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.07.23.217067,cell biology,2020-07-23,2021-02-08,200.0,Blood advances,0.5868,171,248,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,major,,full
10.1101/2020.03.13.990812,cell biology,2020-03-14,2021-02-02,325.0,JCI insight,0.5195,227,198,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,major,,full
10.1101/2020.09.05.267708,neuroscience,2020-09-05,2021-02-10,158.0,Scientific reports,0.9802,170,172,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.10.24.353714,immunology,2020-10-25,2021-02-11,109.0,eLife,0.8727,139,136,2020,minor,unchanged,therapeutic,therapeutic,unchanged,unchanged,minor,unchanged,full
10.1101/2020.03.03.974295,bioinformatics,2020-03-05,2021-02-11,343.0,BMC bioinformatics,0.9643,182,180,2020,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.10.22.350256,evolutionary biology,2020-10-22,2021-02-11,112.0,Royal Society open science,0.9832,184,184,2020,minor,unchanged,null_result,null_result,minor,unchanged,unchanged,unchanged,full
10.1101/2019.12.15.877019,neuroscience,2019-12-16,2021-02-10,422.0,Nature communications,0.9417,162,153,2019,unchanged,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.02.28.964486,molecular biology,2020-02-28,2021-02-11,349.0,Geobiology,0.8691,297,307,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.11.01.364406,cancer biology,2020-11-02,2021-02-02,92.0,eLife,0.8304,148,160,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.09.15.297952,evolutionary biology,2020-09-16,2021-02-06,143.0,eLife,0.8083,149,150,2020,major,unchanged,mechanism,mechanism,unchanged,unchanged,major,unchanged,full
10.1101/2020.08.06.240200,developmental biology,2020-08-06,2021-02-11,189.0,eLife,0.88,145,161,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/398115,bioinformatics,2018-08-24,2021-02-11,902.0,"Genomics, proteomics & bioinformatics",0.7457,223,257,2018,major,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.10.09.334102,neuroscience,2020-10-10,2021-02-11,124.0,Journal of Cognitive Neuroscience,0.9281,250,253,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,full
10.1101/2020.09.29.317198,ecology,2020-10-01,2021-02-11,133.0,Royal Society open science,0.9211,266,270,2020,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.05.25.115584,molecular biology,2020-05-26,2021-02-12,262.0,eLife,0.9808,145,145,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/753657,physiology,2019-09-02,2021-02-06,523.0,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.8815,201,202,2019,minor,unchanged,association,association,minor,unchanged,major,,full
10.1101/2020.10.01.322347,molecular biology,2020-10-01,2021-02-11,133.0,Nature communications,0.9811,150,150,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.07.29.226944,molecular biology,2020-07-29,2021-02-10,196.0,IUCrJ,0.5,285,238,2020,minor,unchanged,descriptive,descriptive,minor,strengthened,minor,unchanged,full
10.1101/2020.11.20.391631,bioengineering,2020-11-20,2021-02-01,73.0,Stem cells translational medicine,0.764,241,255,2020,minor,unchanged,therapeutic,therapeutic,minor,unchanged,minor,unchanged,full
10.1101/487926,bioinformatics,2018-12-05,2021-02-11,799.0,JCO Clinical Cancer Informatics,0.4832,359,222,2018,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/2020.08.16.253161,biochemistry,2020-08-18,2021-02-11,177.0,eLife,0.9545,147,151,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.09.08.288308,genomics,2020-09-09,2021-02-11,155.0,Molecular Ecology Resources,0.8466,249,251,2020,minor,unchanged,descriptive,descriptive,unchanged,unchanged,major,,full
10.1101/2020.09.29.318592,ecology,2020-10-01,2021-02-10,132.0,Ecology,0.928,200,203,2020,minor,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.04.13.039032,cancer biology,2020-04-14,2021-02-11,303.0,Pediatric Blood &amp; Cancer,0.257,267,98,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,major,,full
10.1101/366112,genomics,2018-07-10,2021-02-11,947.0,Proceedings of the National Academy of Sciences of the United States of America,0.7294,365,238,2018,minor,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.07.03.186676,molecular biology,2020-07-03,2021-02-10,222.0,Nature communications,0.6197,205,149,2020,major,strengthened,mechanism,descriptive,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.06.25.170266,neuroscience,2020-06-29,2021-02-11,227.0,Stem cell reports,0.6536,216,144,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.02.03.932905,neuroscience,2020-02-04,2021-02-10,372.0,PloS one,0.928,411,385,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2019.12.31.891671,developmental biology,2019-12-31,2021-02-11,408.0,Nature communications,0.8923,200,191,2019,minor,unchanged,method,method,minor,unchanged,minor,unchanged,full
10.1101/862334,neuroscience,2019-12-02,2021-02-10,436.0,Proceedings of the National Academy of Sciences of the United States of America,0.5308,148,111,2019,minor,strengthened,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.03.30.017228,cancer biology,2020-03-31,2021-02-02,308.0,Cancer Research,0.8077,281,293,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.09.09.289215,animal behavior and cognition,2020-09-09,2021-02-12,156.0,PloS one,1.0,295,295,2020,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,full
10.1101/857623,cell biology,2019-11-27,2021-02-11,442.0,Proceedings of the National Academy of Sciences of the United States of America,0.2416,154,245,2019,minor,unchanged,mechanism,mechanism,major,,major,,full
10.1101/816538,evolutionary biology,2019-10-24,2021-02-11,476.0,BMC ecology and evolution,0.9776,242,242,2019,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/699736,neuroscience,2019-07-11,2021-02-11,581.0,Royal Society open science,0.3277,246,190,2019,minor,unchanged,descriptive,descriptive,minor,weakened,minor,weakened,full
10.1101/831149,cell biology,2019-11-12,2021-02-10,456.0,Nature communications,0.9121,151,147,2019,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.02.03.931899,bioinformatics,2020-02-03,2021-02-10,373.0,Scientific reports,0.3831,148,174,2020,minor,unchanged,method,method,minor,unchanged,major,weakened,full
10.1101/2020.10.25.354571,microbiology,2020-10-26,2021-02-11,108.0,The Journal of hospital infection,0.6,100,144,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/2020.06.17.157958,cell biology,2020-06-18,2021-02-01,228.0,"Development (Cambridge, England)",0.6107,209,172,2020,major,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,full
10.1101/2020.03.05.978155,plant biology,2020-03-05,2021-02-11,343.0,"Genomics, proteomics & bioinformatics",0.5813,210,187,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/2020.10.13.336685,cell biology,2020-10-13,2021-02-11,121.0,Stem cell reports,0.99,148,147,2020,unchanged,unchanged,association,association,minor,unchanged,minor,unchanged,full
10.1101/2020.09.18.304048,neuroscience,2020-09-19,2021-02-11,145.0,Psychoneuroendocrinology,0.8625,250,253,2020,minor,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,full
10.1101/2020.04.08.027656,ecology,2020-04-09,2021-02-11,308.0,Global Ecology and Biogeography,0.6359,293,302,2020,minor,unchanged,association,association,minor,unchanged,major,unchanged,full
10.1101/2020.07.02.184903,biophysics,2020-07-04,2021-02-03,214.0,Biophysical journal,0.695,273,151,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.06.26.173203,genetics,2020-06-26,2021-02-15,234.0,Frontiers in medicine,0.5517,231,88,2020,unchanged,unchanged,association,association,unchanged,unchanged,major,,full
10.1101/2020.08.17.254771,biochemistry,2020-08-18,2021-02-15,181.0,Cell chemical biology,0.7,240,146,2020,minor,unchanged,method,method,major,unchanged,minor,unchanged,full
10.1101/2020.11.10.376301,neuroscience,2020-11-10,2021-02-14,96.0,Journal of Alzheimer's Disease,0.9073,246,250,2020,unchanged,unchanged,therapeutic,therapeutic,unchanged,unchanged,unchanged,unchanged,full
10.1101/2020.03.09.984815,microbiology,2020-03-12,2021-02-16,341.0,mSphere,0.2069,399,47,2020,major,,method,descriptive,major,,major,,full
10.1101/2020.09.11.292862,microbiology,2020-09-11,2021-02-17,159.0,NPJ science of food,0.5143,286,148,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,full
10.1101/850131,bioinformatics,2019-11-20,2021-02-13,451.0,Frontiers in cell and developmental biology,0.6167,497,309,2019,major,strengthened,method,method,minor,unchanged,minor,unchanged,full
10.1101/782904,genetics,2019-09-26,2021-02-14,507.0,Genetics,0.9894,319,318,2019,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,full
10.1101/690644,genomics,2019-07-02,2021-02-17,596.0,BMC biology,0.8491,246,267,2019,unchanged,unchanged,descriptive,descriptive,minor,unchanged,major,unchanged,full
